player_id,name,team,age,nationality,photo,primary_position,detailed_position,position_group,position_confidence,minutes,rating,possession_control,passing_control,chance_creation,attacking_pressure,directness,shooting_efficiency
19143,S. Johnstone,Wolves,32.0,England,https://media.api-sports.io/football/players/19143.png,GK,GK,GK,100.0,1080,6.93,59.0,56.8,35.8,47.4,38.1,50.6
19145,T. Adarabioyo,Chelsea,28.0,England,https://media.api-sports.io/football/players/19145.png,CB,CB,CB,100.0,796,6.89,62.9,67.4,21.2,12.8,8.2,16.6
19163,J. Murphy,Newcastle,30.0,England,https://media.api-sports.io/football/players/19163.png,RW,RW,W,73.7,1627,6.71,54.6,50.7,47.6,60.7,45.5,51.0
19170,M. Rogers,Aston Villa,23.0,England,https://media.api-sports.io/football/players/19170.png,CAM,CAM,AM,51.4,3285,6.84,41.8,42.1,59.3,75.7,70.3,79.5
19179,T. Mings,Aston Villa,32.0,England,https://media.api-sports.io/football/players/19179.png,CB,CB,CB,100.0,1335,6.69,55.6,69.5,49.4,39.2,60.8,29.9
19182,A. Tuanzebe,Burnley,28.0,England,https://media.api-sports.io/football/players/19182.png,CB,CB,CB,92.9,1202,6.53,18.3,21.5,11.8,30.4,7.5,69.6
19187,J. Grealish,Everton,30.0,England,https://media.api-sports.io/football/players/19187.png,LW,LW,W,100.0,1631,7.2,64.8,81.9,85.7,27.9,48.9,52.7
19191,J.  McGinn,Aston Villa,31.0,Scotland,https://media.api-sports.io/football/players/19191.png,RW,RW,W,53.6,2169,6.95,60.6,68.1,59.2,32.3,30.1,63.4
19192,J. Ramsey,Newcastle,24.0,England,https://media.api-sports.io/football/players/19192.png,CM,CM,CM,66.7,1474,6.66,51.1,60.9,74.6,58.7,71.8,47.7
19201,J. Bogle,Leeds,25.0,England,https://media.api-sports.io/football/players/19201.png,RWB,RWB,FB,53.1,2809,6.61,19.9,22.3,42.2,48.8,53.2,51.4
19220,M. Mount,Manchester United,26.0,England,https://media.api-sports.io/football/players/19220.png,CAM,CAM,AM,83.3,1018,6.89,60.1,55.5,32.1,39.9,34.2,37.0
19221,H. Wilson,Fulham,28.0,Wales,https://media.api-sports.io/football/players/19221.png,RW,RW,W,87.5,2701,7.11,52.8,50.6,56.2,69.0,43.3,70.8
19235,D. Spence,Tottenham,25.0,England,https://media.api-sports.io/football/players/19235.png,LB,LB,FB,73.9,2090,6.56,49.3,36.2,30.4,64.1,62.2,69.1
19245,M. Tavernier,Bournemouth,26.0,England,https://media.api-sports.io/football/players/19245.png,LW,LW,W,32.3,2738,6.84,75.5,86.3,65.4,70.4,63.2,60.1
19281,A. Semenyo,Bournemouth | Manchester City,25.0,Ghana,https://media.api-sports.io/football/players/19281.png,LW,LW,W,40.5,3200,7.047,52.6,43.8,50.0,90.7,71.1,92.4
19298,M. Cash,Aston Villa,28.0,Poland,https://media.api-sports.io/football/players/19298.png,RB,RB,FB,100.0,3032,6.84,62.8,62.2,54.8,71.7,52.2,73.2
19305,R. Yates,Nottingham Forest,28.0,England,https://media.api-sports.io/football/players/19305.png,CM,CM,CM,100.0,629,6.69,25.6,35.4,43.5,35.6,29.8,30.6
19321,J. Rodon,Leeds,28.0,Wales,https://media.api-sports.io/football/players/19321.png,CB,CB,CB,100.0,2958,6.69,27.2,37.8,36.7,54.8,37.3,75.2
19329,D. James,Leeds,28.0,Wales,https://media.api-sports.io/football/players/19329.png,RW,RW,W,66.7,571,6.62,17.9,21.0,36.3,32.0,39.4,26.2
19346,R. Henry,Brentford,28.0,England,https://media.api-sports.io/football/players/19346.png,LB,LB,FB,92.9,1334,6.45,39.4,22.6,32.4,34.7,43.5,16.0
19354,E. Konsa,Aston Villa,28.0,England,https://media.api-sports.io/football/players/19354.png,CB,CB,CB,100.0,3036,7.0,70.8,54.0,38.3,34.3,38.1,34.9
19366,O. Watkins,Aston Villa,30.0,England,https://media.api-sports.io/football/players/19366.png,ST,ST,FW,100.0,2864,6.87,55.7,47.7,64.8,64.4,58.0,78.3
19428,J. Bowen,West Ham,29.0,England,https://media.api-sports.io/football/players/19428.png,RW,RW,W,36.8,3410,6.99,32.6,27.9,61.6,63.2,51.8,71.0
19461,L. Nmecha,Leeds,27.0,Germany,https://media.api-sports.io/football/players/19461.png,ST,ST,FW,100.0,1097,6.69,71.8,68.3,63.1,66.2,49.0,78.8
19465,David Raya,Arsenal,30.0,Spain,https://media.api-sports.io/football/players/19465.png,GK,GK,GK,100.0,3330,6.95,49.4,44.7,70.2,55.5,68.4,50.6
19484,A. Armstrong,Wolves,28.0,England,https://media.api-sports.io/football/players/19484.png,ST,ST,FW,71.4,1146,6.54,40.7,23.6,44.4,24.1,28.3,29.9
19495,N. Collins,Brentford,24.0,Republic of Ireland,https://media.api-sports.io/football/players/19495.png,CB,CB,CB,100.0,2983,6.77,56.6,61.3,65.9,63.4,63.2,57.8
19545,R. James,Chelsea,26.0,England,https://media.api-sports.io/football/players/19545.png,RB,RB,FB,60.0,1973,7.19,83.4,91.5,78.9,74.4,63.1,80.8
19549,A. Robinson,Fulham,28.0,USA,https://media.api-sports.io/football/players/19549.png,LB,LB,FB,88.2,1502,6.83,82.2,80.8,64.2,40.2,51.5,61.7
19586,E. Eze,Arsenal,27.0,England,https://media.api-sports.io/football/players/19586.png,CAM,CAM,AM,50.0,1816,6.96,59.5,32.4,40.7,85.4,59.3,71.8
19599,E. Martínez,Aston Villa,33.0,Argentina,https://media.api-sports.io/football/players/19599.png,GK,GK,GK,100.0,2835,6.98,69.4,86.8,72.6,47.4,51.0,50.6
19720,T. Chalobah,Chelsea,26.0,England,https://media.api-sports.io/football/players/19720.png,CB,CB,CB,96.8,2795,6.94,83.0,66.7,38.0,64.5,48.6,67.8
19760,J. Justin,Leeds,27.0,England,https://media.api-sports.io/football/players/19760.png,CB,CB,CB,38.1,1921,6.93,18.8,37.5,75.2,81.0,92.5,71.0
19789,E. Pinnock,Brentford,32.0,Jamaica,https://media.api-sports.io/football/players/19789.png,CB,CB,CB,100.0,321,6.75,38.6,10.9,28.8,54.3,36.1,71.2
19827,J. Cullen,Burnley,29.0,Republic of Ireland,https://media.api-sports.io/football/players/19827.png,CM,CM,CM,66.7,1519,6.91,54.1,67.6,42.6,35.9,18.9,79.8
19911,L. O&apos;Nien,Sunderland,31.0,England,https://media.api-sports.io/football/players/19911.png,CB,CB,CB,80.0,604,6.63,32.3,33.2,62.9,50.7,47.4,41.4
19959,B. White,Arsenal,28.0,England,https://media.api-sports.io/football/players/19959.png,RB,RB,FB,100.0,713,6.89,75.8,74.6,64.4,45.1,44.2,29.3
20093,J. Hill,Bournemouth,23.0,England,https://media.api-sports.io/football/players/20093.png,CB,CB,CB,90.9,2120,6.98,46.2,54.9,77.1,40.3,49.4,31.8
20303,J. Laurent,Burnley,30.0,England,https://media.api-sports.io/football/players/20303.png,CB,CB,CB,55.6,1783,6.45,20.5,33.5,68.8,73.0,85.9,66.6
20355,A. Ramsdale,Newcastle,27.0,England,https://media.api-sports.io/football/players/20355.png,GK,GK,GK,100.0,1003,6.61,51.0,71.3,58.9,47.4,53.5,50.6
20589,B. Mbeumo,Manchester United,26.0,Cameroon,https://media.api-sports.io/football/players/20589.png,CAM,CAM,AM,51.6,2621,6.84,28.3,40.5,51.4,79.5,68.9,82.4
20638,E. Le Fée,Sunderland,25.0,France,https://media.api-sports.io/football/players/20638.png,CAM,CAM,AM,36.4,2953,6.91,39.7,60.8,61.4,19.5,28.9,49.6
20649,Y. Wissa,Newcastle,29.0,Congo DR,https://media.api-sports.io/football/players/20649.png,ST,ST,FW,100.0,548,6.47,27.7,32.9,16.6,37.4,56.2,20.4
20665,J. Bellegarde,Wolves,27.0,France,https://media.api-sports.io/football/players/20665.png,CM,CM,CM,40.0,1251,6.78,39.3,27.3,59.8,74.1,79.3,57.6
20995,M. Lacroix,Crystal Palace,25.0,France,https://media.api-sports.io/football/players/20995.png,CB,CB,CB,100.0,3087,6.9,49.0,44.6,52.9,63.8,56.6,63.7
