player_id,name,primary_position,primary_starts,secondary_position,secondary_starts,total_starts,position_confidence,unknown_starts,position_history
284230,R. Lewis,RB,4,,0,4,100.0,0,RB:4
19959,B. White,RB,9,,0,9,100.0,0,RB:9
537,J. Veltman,RB,9,,0,9,100.0,0,RB:9
41621,M. Nunes,RB,32,,0,32,100.0,0,RB:32
180317,C. Bradley,RB,12,,0,12,100.0,0,RB:12
2855,E. Krafth,RB,1,,0,1,100.0,0,RB:1
18758,S. Coleman,RB,1,,0,1,100.0,0,RB:1
138417,N. Patterson,RB,3,,0,3,100.0,0,RB:3
329357,Z. Abbott,RB,2,,0,2,100.0,0,RB:2
8500,W. Endo,RB,1,,0,1,100.0,0,RB:1
388013,A. Garcia,RB,1,,0,1,100.0,0,RB:1
169,K. Trippier,RB,17,RWB,1,18,94.4,0,RB:17 | RWB:1
171,K. Walker-Peters,RB,14,LB,1,15,93.3,0,RB:14 | LB:1
181806,N. Savona,RB,10,RWB,1,11,90.9,0,RB:10 | RWB:1
47519,P. Porro,RB,29,RWB,1,32,90.6,0,RB:29 | RWB:1 | CB:1 | RM:1
38746,J. Timber,RB,25,CB,2,28,89.3,0,RB:25 | CB:2 | LB:1
2771,O. Aina,RB,16,LB,1,18,88.9,0,RB:16 | LB:1 | RWB:1
342022,M. Kayode,RB,32,RWB,5,37,86.5,0,RB:32 | RWB:5
270139,J. O'Brien,RB,30,CB,5,35,85.7,0,RB:30 | CB:5
330437,A. Jimenez,RB,21,RW,5,26,80.8,0,RB:21 | RW:5
161907,M. Gusto,RB,19,LB,3,26,73.1,0,RB:19 | LB:3 | CDM:2 | RWB:2
284,J. Gomez,RB,5,CB,2,7,71.4,0,RB:5 | CB:2
2920,T. Castagne,RB,14,RWB,3,20,70.0,0,RB:14 | RWB:3 | RW:2 | LB:1
18846,A. Wan-Bissaka,RB,15,RWB,7,23,65.2,0,RB:15 | RWB:7 | CB:1
158694,V. Livramento,RB,9,LB,3,14,64.3,0,RB:9 | LB:3 | LWB:1 | RWB:1
19545,R. James,RB,12,CDM,7,20,60.0,0,RB:12 | CDM:7 | CM:1
152654,J. Frimpong,RB,7,RW,4,12,58.3,0,RB:7 | RW:4 | CAM:1
886,D. Dalot,RB,16,LWB,9,29,55.2,0,RB:16 | LWB:9 | RWB:4
627,K. Walker,RB,16,RWB,16,35,45.7,0,RB:16 | RWB:16 | CB:2 | RM:1
37143,L. Geertruida,RB,7,CB,5,17,41.2,0,RB:7 | CB:5 | CDM:5
119121,T. Hume,RB,9,LB,9,34,26.5,0,RB:9 | LB:9 | RW:7 | RWB:5 | RM:3 | LWB:1
554280,J. T. Bi,RM,1,,0,1,100.0,0,RM:1
161621,L. Tchaouna,RM,7,RW,6,14,50.0,0,RM:7 | RW:6 | LW:1
153430,A. Elanga,RW,14,,0,14,100.0,0,RW:14
425733,Estêvão,RW,12,,0,12,100.0,0,RW:12
304317,T. Dibling,RW,4,,0,4,100.0,0,RW:4
18753,A. Traore,RW,1,,0,1,100.0,0,RW:1
30410,F. Chiesa,RW,1,,0,1,100.0,0,RW:1
18,J. Sancho,RW,9,,0,9,100.0,0,RW:9
392610,H. Howell,RW,1,,0,1,100.0,0,RW:1
983,L. Bailey,RW,3,,0,3,100.0,0,RW:3
1460,B. Saka,RW,24,CAM,1,25,96.0,0,RW:24 | CAM:1
306,M. Salah,RW,22,ST,1,23,95.7,0,RW:22 | ST:1
407806,Rayan,RW,12,LW,1,13,92.3,0,RW:12 | LW:1
284797,D. Ouattara,RW,22,ST,1,25,88.0,0,RW:22 | ST:1 | LW:1 | RM:1
19221,H. Wilson,RW,28,CAM,4,32,87.5,0,RW:28 | CAM:4
136723,N. Madueke,RW,14,LW,2,16,87.5,0,RW:14 | LW:2
15911,M. Kudus,RW,15,CAM,4,19,78.9,0,RW:15 | CAM:4
18929,D. McNeil,RW,11,LW,2,14,78.6,0,RW:11 | LW:2 | CAM:1
19163,J. Murphy,RW,14,RM,2,19,73.7,0,RW:14 | RM:2 | ST:1 | CAM:1 | RWB:1
383685,Y. Minteh,RW,19,LW,7,26,73.1,0,RW:19 | LW:7
284428,O. Hutchinson,RW,12,RM,4,17,70.6,0,RW:12 | RM:4 | LW:1
19329,D. James,RW,4,RWB,2,6,66.7,0,RW:4 | RWB:2
202854,M. Rohl,RW,4,CAM,1,6,66.7,0,RW:4 | CAM:1 | CDM:1
