alias,current_club_id,evidence
FK Sochi,41231,1
FK Spartak Moskva,232,1
FK Spartak Subotica,15276,1
FK TSC Backa Topola,3137,1
FK Tekstilac Odzaci,36922,1
FK Teplice,814,1
FK Ufa,28095,1
FK Vojvodina Novi Sad,448,1
FK Zeleznicar Pancevo,59358,1
FSV Mainz 05,39,21
Fagiano Okayama Sports Club,22171,1
Fakel Voronezh,1124,1
Falkirk FC,1191,1
Fatih Karagümrük,6646,1
Fenerbahce,36,1
Feyenoord Rotterdam,234,1
Fiorentina,430,17
Fluminense Football Club,2462,1
Football Club Anyang,38898,1
Football Club Cincinnati,51772,1
Football Club Lausanne-Sport,527,1
Football Club Mito HollyHock,21975,1
Football Club Pohang Steelers,311,1
Football Club Seoul,6500,1
Fortaleza CEIF,32041,1
Fortaleza Esporte Clube,10870,1
Fortuna Düsseldorf,38,1
Fortuna Sittardia Combinatie,385,1
Fotballklubben Bodø/Glimt,501,1
Foundation Coorperation Hana Financial Group Inc. Football Club,6499,1
Fredrikstad Fotballklubb,3837,1
Frosinone Calcio,8970,1
Fulham,931,18
Fulham FC,931,18
Fußballclub Red Bull Salzburg,409,1
GD Chaves,3325,1
GD Estoril Praia,1465,1
GFC Ajaccio,3558,1
GKS GieKSa Katowice Spółka Akcyjna,6456,1
GNK Dinamo Zagreb,419,1
GS Ergotelis,5220,1
Galatasaray,141,1
Gamba Osaka,596,1
Gangwon Football Club,21459,1
Gaziantep FK,2832,1
Gaziantepspor (- 2020),524,1
Genoa,252,17
Genoa CFC,252,17
Gençlerbirliği Spor Kulübü,820,1
Getafe,3709,18
Getafe CF,3709,18
Gil Vicente FC,2424,1
Gimcheon Sangmu Football Club,6505,1
Giresunspor,11688,1
Girona,12321,21
Girona FC,12321,23
Go Ahead Eagles,1435,1
Goverla Uzhgorod (- 2016),6996,1
Granada CF,16795,1
Grasshopper Club Zurich,504,1
Grazer AK 1902,316,1
Grêmio Foot-Ball Porto Alegrense,210,1
Gwangju Football Club,30925,1
Górnik Zabrze,428,1
Göteborgs Atlet- och Idrottssällskap,7009,1
Göztepe,1467,1
HNK Gorica,24575,1
HNK Hajduk Split,447,1
HNK Rijeka,144,1
HNK Sibenik,223,1
HNK Vukovar 1991,456,1
Halmstads BK,1011,1
Hamarkameratene,4309,1
Hamburger SV,41,21
Hamilton Academical FC,2999,1
Hammarby IF,1059,1
Hannover 96,42,1
Hatayspor,7775,1
Heart of Midlothian FC,43,1
Hellas Verona,276,19
Heracles Almelo,1304,1
Hertha BSC,44,1
Hibernian FC,903,1
Hitachi Kashiwa Reysol,6632,1
Hobro IK,5818,1
Holstein Kiel,269,1
Houston Dynamo,9168,1
Huddersfield Town,1110,1
Hull City,3008,1
Hvidovre IF,1894,1
IFK Norrköping,2844,1
IFK Värnamo,3622,1
IK Sirius,7945,1
Idrettsklubben Start,267,1
Idrottsföreningen  Brommapojkarna,1092,1
Idrottsföreningen Elfsborg,1101,1
Idrottsföreningen Kamraterna Göteborg,801,1
Incheon United Football Club,2996,1
Independiente Medellín,10093,1
Independiente Santa Fe,11648,1
Ingulets Petrove,49364,1
Instituto Atlético Central Córdoba,1829,1
Inter,46,20
Inter Milan,46,20
Internacional de Bogotá,17425,1
Inverness Caledonian Thistle FC,2451,1
Ionikos Nikeas,553,1
Ipswich Town,677,1
Iraklis Thessaloniki,47,1
Istanbulspor,924,1
JEF United,672,1
Jagiellonia Bialystok,2300,1
Jeju SK Football Club,19684,1
Jeonbuk Hyundai Motors,6502,1
Junior FC,11854,1
Juventus,506,20
Juventus FC,506,24
KAA Gent,157,1
KAS Eupen,1245,1
KFUM-Kameratene Oslo,23184,1
KRC Genk,1184,1
KSC Lokeren (- 2020),498,1
KV Kortrijk,601,1
KV Mechelen,354,1
KV Oostende,2861,1
KVC Westerlo,968,1
Kalmar Fotbollförening,3654,1
Kardemir Karabükspor,1506,1
Karpaty Lviv,85465,1
Karpaty Lviv (-2021),2477,1
Kashima Antlers FC,2241,1
Kasimpasa,10484,1
Kawasaki Frontale,9598,1
Kayseri Erciyesspor,6894,1
Kayserispor,3205,1
Kilmarnock FC,2553,1
Kocaelispor,120,1
Kolos Kovalivka,48332,1
Konyaspor,2293,1
Korona Kielce,6110,1
Kristiansund Ballklubb,21101,1
Kryvbas Kryvyi Rig,3592,1
Kuban Krasnodar (-2018),2439,1
Kyoto Purple Sanga,593,1
LASK,413,1
LNZ Cherkasy,63007,1
LOSC Lille,1082,21
Lazio,398,25
Le Havre,738,19
Le Havre AC,738,19
Lecce,1005,19
Lech Poznan,238,1
Lechia Gdansk,4000,1
Leeds,399,20
Leeds United,399,22
Legia Warszawa,255,1
Leicester City,1003,1
Lens,826,18
Levante,3368,24
Levante UD,3368,25
Lierse SK (- 2018),204,1
Lille,1082,21
Lillestrøm Sportsklubb,353,1
Liverpool,31,20
Liverpool FC,31,20
Livingston FC,1241,1
Livyi Bereg Kyiv,86209,1
Llaneros FC,38628,1
Lorient,1158,20
Los Angeles Football Club,51828,1
Los Angeles Galaxy,1061,1
Luton Town,1031,1
Lyngby Boldklub,369,1
Lyon,1041,16
MFK Karvina,13726,1
MKE Ankaragücü,868,1
Macarthur FC,71085,1
Mallorca,237,21
Malmö Fotbollförening,496,1
Manchester City,281,24
Manchester United,985,20
Marseille,244,24
Mazatlán FC,82696,1
Melbourne City FC,25580,1
Melbourne Victory,7006,1
Mersin Talimyurdu SK,3216,1
Metalist Kharkiv,83678,1
Metalist Kharkiv (- 2016),6414,1
Metalurg Donetsk (- 2015),2783,1
Metalurg Zaporizhya (-2016),6994,1
Metz,347,20
Middlesbrough FC,641,1
Millonarios FC,2350,1
Minnesota United FC,56089,1
Mirasol Futebol Clube,3876,1
Mjällby Almänna Idrottsförening,2719,1
Molde Fotballklubb,687,1
Monaco,162,22
Montpellier HSC,969,1
Mordovia Saransk (-2020),11126,1
Moreirense FC,979,1
Morski Związkowy Klub Sportowy Arka Gdynia Spółka Akcyjna,6107,1
Motherwell FC,987,1
Motor Lublin Spółka Akcyjna,3527,1
Málaga CF,1084,1
NAC Breda,132,1
NEC Nijmegen,467,1
NK Istra 1961,999,1
NK Lokomotiva Zagreb,11194,1
NK Osijek,327,1
NK Varazdin,599,1
NK Veres Rivne,26459,1
Nagoya Grampus Eight,1066,1
Nantes,995,18
Napoli,6195,24
Nashville SC,63966,1
Neom Sports Club,34911,1
New England Revolution,626,1
New York City Football Club,40058,1
Newcastle,762,22
Newcastle United,762,22
Newcastle United Jets,5551,1
Nice,417,19
Niki Volou,5572,1
Norwich City,1123,1
Nottingham Forest,703,22
Nîmes Olympique,1160,1
OFK Beograd,53,1
OGC Nice,417,19
Obolon Kyiv,39097,1
Odense Boldklub,173,1
Olimpik Donetsk,23611,1
Olympiakos Syndesmos Filathlon Peiraios,683,3
Olympique Lyon,1041,17
Olympique Marseille,244,30
Omilos Filathlon Irakliou FC,653,1
Once Caldas,6984,1
Orduspor,2323,1
Orlando City Soccer Club,45604,1
Osasuna,331,20
Oud-Heverlee Leuven,2727,1
Oviedo,2497,21
PAS Giannina,2671,1
PAS Lamia 1964,3999,1
PEC Zwolle,1269,1
PFK CSKA Moskva,2410,1
PFK Krylya Sovetov Samara,2696,1
PFK Lviv,18105,1
PFK Stal Kamyanske (-2018),16247,1
PFK Tambov (-2021),41201,1
PSV Eindhoven,383,1
Palermo FC,458,1
Panathinaikos Athlitikos Omilos,265,1
Panetolikos Agrinio,6418,1
Panionios Athens,169,1
Panserraikos Serres,3385,1
Panthessalonikios Athlitikos Omilos Konstantinoupoliton,1091,1
Panthrakikos Komotini,7185,1
Paris FC,10004,20
Paris Saint Germain,583,21
Paris Saint-Germain,583,21
Parma,130,17
Parma Calcio 1913,130,17
Partick Thistle FC,2760,1
Pendikspor,3209,1
Perth Glory,970,1
Petrolul Ploiesti,9465,1
Philadelphia Union,25467,1
Piast Gliwice,6112,1
Pisa,4172,24
Pisa Sporting Club,4172,24
Pogon Szczecin,324,1
Portimonense SC,7378,1
Portland Timbers,4291,1
Puebla FC,5662,1
Puszcza Niepolomice,28893,1
Queens Park Rangers,1039,1
Querétaro FC,4961,1
RAAL La Louvière,3901,1
RAEC Mons (- 2015),1411,1
RB Leipzig,23826,23
RC Lens,826,20
RC Strasbourg Alsace,667,20
RCD Espanyol Barcelona,714,18
RCD Mallorca,237,21
RFC Seraing,2715,1
RFK Akhmat Grozny,3725,1
RKC Waalwijk,235,1
RSC Anderlecht,58,3
RWD Molenbeek,54189,1
Racing Club Asociación Civil de Avellaneda,1444,1
Radomiak Radom,7154,1
Rakuten Vissel Kobe,3958,1
Raków Częstochowa,9644,1
Randers FC,5724,1
Rangers FC,124,1
Rapid Vienna,170,1
Rayo Vallecano,367,22
Reading FC,1032,1
Real Betis,150,23
Real Betis Balompié,150,23
Real Madrid,418,25
Real Oviedo,2497,21
Real Salt Lake,6643,1
Real Sociedad,681,20
Real Valladolid CF,366,1
Real Zaragoza,142,1
Red Bull Bragantino,8793,1
Red Bull New York,623,1
Red Star Belgrade,159,1
Rennes,273,19
Rio Ave FC,2425,1
Rionegro Águilas,20590,1
Roda JC Kerkrade,192,1
Rosenborg Ballklub,195,1
Ross County FC,2759,1
Rotor Volgograd,3609,1
Royal Antwerp FC,1096,2
Royal Charleroi Sporting Club,172,1
