api_football_player_id,player_name,player_full_name,current_team,league,transfermarkt_player_id,transfermarkt_name,transfermarkt_club,market_value_eur,market_value_m_eur,valuation_date,transfermarkt_url,match_confidence,match_score,match_margin,match_method,source
931,Ferran Torres,Ferran Torres García,Barcelona,La Liga,398184,Ferran Torres,FC Barcelona,50000000,50.0,2026-06-05,https://www.transfermarkt.co.uk/ferran-torres/profil/spieler/398184,high,1.0,1.0,provider_id_crosswalk,transfermarkt_dataset
296667,Gavi,Pablo Martín Páez Gavira,Barcelona,La Liga,646740,Gavi,FC Barcelona,30000000,30.0,2026-06-05,https://www.transfermarkt.co.uk/gavi/profil/spieler/646740,high,1.0,1.0,provider_id_crosswalk,transfermarkt_dataset
181701,Gerard Martín,Gerard Martín Langreo,Barcelona,La Liga,705395,Gerard Martín,FC Barcelona,35000000,35.0,2026-06-05,https://www.transfermarkt.co.uk/gerard-martin/profil/spieler/705395,high,1.0,1.0,provider_id_crosswalk,transfermarkt_dataset
1257,J. Koundé,Jules Olivier Koundé,Barcelona,La Liga,411975,Jules Koundé,FC Barcelona,60000000,60.0,2026-06-05,https://www.transfermarkt.co.uk/jules-kounde/profil/spieler/411975,high,1.0,1.0,provider_id_crosswalk,transfermarkt_dataset
182718,Joan García,Joan García Pons,Barcelona,La Liga,561613,Joan García,FC Barcelona,45000000,45.0,2026-06-05,https://www.transfermarkt.co.uk/joan-garcia/profil/spieler/561613,high,1.0,1.0,provider_id_crosswalk,transfermarkt_dataset
855,João Cancelo,João Pedro Cavaco Cancelo,Barcelona,La Liga,182712,João Cancelo,Al-Hilal Saudi Football Club,8000000,8.0,2026-06-05,https://www.transfermarkt.co.uk/joao-cancelo/profil/spieler/182712,high,1.0,1.0,provider_id_crosswalk,transfermarkt_dataset
386828,Lamine Yamal,Lamine Yamal Nasraoui Ebana,Barcelona,La Liga,937958,Lamine Yamal,FC Barcelona,200000000,200.0,2026-06-05,https://www.transfermarkt.co.uk/lamine-yamal/profil/spieler/937958,high,1.0,1.0,provider_id_crosswalk,transfermarkt_dataset
909,M. Rashford,Marcus Rashford,Barcelona,La Liga,258923,Marcus Rashford,FC Barcelona,40000000,40.0,2026-06-05,https://www.transfermarkt.co.uk/marcus-rashford/profil/spieler/258923,high,1.0,1.0,provider_id_crosswalk,transfermarkt_dataset
433396,Marc Bernal,Marc Bernal Casas,Barcelona,La Liga,1018920,Marc Bernal,FC Barcelona,30000000,30.0,2026-06-05,https://www.transfermarkt.co.uk/marc-bernal/profil/spieler/1018920,high,1.0,1.0,provider_id_crosswalk,transfermarkt_dataset
329728,Marc Casadó,Marc Casadó Torras,Barcelona,La Liga,636695,Marc Casadó,FC Barcelona,18000000,18.0,2026-06-05,https://www.transfermarkt.co.uk/marc-casado/profil/spieler/636695,high,1.0,1.0,provider_id_crosswalk,transfermarkt_dataset
396623,Pau Cubarsí Paredes,Pau Cubarsí Paredes,Barcelona,La Liga,962110,Pau Cubarsí,FC Barcelona,80000000,80.0,2026-06-05,https://www.transfermarkt.co.uk/pau-cubarsi/profil/spieler/962110,high,1.0,1.0,provider_id_crosswalk,transfermarkt_dataset
133609,Pedri,Pedro González López,Barcelona,La Liga,683840,Pedri,FC Barcelona,150000000,150.0,2026-06-05,https://www.transfermarkt.co.uk/pedri/profil/spieler/683840,high,1.0,1.0,provider_id_crosswalk,transfermarkt_dataset
101814,R. Araújo,Ronald Federico Araújo da Silva,Barcelona,La Liga,480267,Ronald Araujo,FC Barcelona,20000000,20.0,2026-06-05,https://www.transfermarkt.co.uk/ronald-araujo/profil/spieler/480267,high,1.0,1.0,provider_id_crosswalk,transfermarkt_dataset
338958,R. Bardghji,Roony Bardghji,Barcelona,La Liga,792331,Roony Bardghji,FC Barcelona,15000000,15.0,2026-06-05,https://www.transfermarkt.co.uk/roony-bardghji/profil/spieler/792331,high,1.0,1.0,provider_id_crosswalk,transfermarkt_dataset
521,R. Lewandowski,Robert Lewandowski,Barcelona,La Liga,38253,Robert Lewandowski,FC Barcelona,7000000,7.0,2026-06-05,https://www.transfermarkt.co.uk/robert-lewandowski/profil/spieler/38253,high,1.0,1.0,provider_id_crosswalk,transfermarkt_dataset
1496,Raphinha,Raphael Dias Belloli,Barcelona,La Liga,411295,Raphinha,FC Barcelona,70000000,70.0,2026-06-05,https://www.transfermarkt.co.uk/raphinha/profil/spieler/411295,high,1.0,1.0,provider_id_crosswalk,transfermarkt_dataset
851,W. Szczęsny,Wojciech Tomasz Szczęsny,Barcelona,La Liga,44058,Wojciech Szczesny,FC Barcelona,800000,0.8,2026-06-05,https://www.transfermarkt.co.uk/wojciech-szczesny/profil/spieler/44058,high,1.0,1.0,provider_id_crosswalk,transfermarkt_dataset
47348,Borja Iglesias,Borja Iglesias Quintás,Celta Vigo,La Liga,278359,Borja Iglesias,Celta de Vigo,2800000,2.8,2026-06-05,https://www.transfermarkt.co.uk/borja-iglesias/profil/spieler/278359,high,1.0,1.0,provider_id_crosswalk,transfermarkt_dataset
286639,Bryan Zaragoza,Bryan Zaragoza Martínez,Celta Vigo,La Liga,713644,Bryan Zaragoza,Associazione Sportiva Roma,8000000,8.0,2026-05-29,https://www.transfermarkt.co.uk/bryan-zaragoza/profil/spieler/713644,high,0.91,0.2564,name_club_age,transfermarkt_dataset
47988,C. Starfelt,Carl Anders Theodor Starfelt,Celta Vigo,La Liga,258987,Carl Starfelt,Celta de Vigo,4500000,4.5,2026-06-05,https://www.transfermarkt.co.uk/carl-starfelt/profil/spieler/258987,high,1.0,1.0,provider_id_crosswalk,transfermarkt_dataset
286559,Carlos Domínguez,Carlos Domínguez Cáceres,Celta Vigo,La Liga,636093,Carlos Domínguez,Celta de Vigo,2000000,2.0,2026-06-05,https://www.transfermarkt.co.uk/carlos-dominguez/profil/spieler/636093,high,1.0,1.0,provider_id_crosswalk,transfermarkt_dataset
391822,Fer López,Fernando López González,Celta Vigo,La Liga,1064471,Fer López,Celta de Vigo,16000000,16.0,2026-06-05,https://www.transfermarkt.co.uk/fer-lopez/profil/spieler/1064471,high,1.0,1.0,provider_id_crosswalk,transfermarkt_dataset
122734,Ferran Jutglà,Ferran Jutglà Blanch,Celta Vigo,La Liga,599231,Ferran Jutglà,Celta de Vigo,10000000,10.0,2026-06-05,https://www.transfermarkt.co.uk/ferran-jutgla/profil/spieler/599231,high,1.0,1.0,provider_id_crosswalk,transfermarkt_dataset
313651,Hugo Sotelo,Hugo Sotelo Gómez,Celta Vigo,La Liga,892221,Hugo Sotelo,Celta de Vigo,5000000,5.0,2026-06-05,https://www.transfermarkt.co.uk/hugo-sotelo/profil/spieler/892221,high,1.0,1.0,provider_id_crosswalk,transfermarkt_dataset
329720,Hugo Álvarez,Hugo Álvarez Antúnez,Celta Vigo,La Liga,892929,Hugo Álvarez,Celta de Vigo,8000000,8.0,2026-06-05,https://www.transfermarkt.co.uk/hugo-alvarez/profil/spieler/892929,high,1.0,1.0,provider_id_crosswalk,transfermarkt_dataset
162123,I. Moriba,Moriba Kourouma Kourouma,Celta Vigo,La Liga,617074,Ilaix Moriba,Celta de Vigo,15000000,15.0,2026-06-05,https://www.transfermarkt.co.uk/ilaix-moriba/profil/spieler/617074,high,1.0,1.0,provider_id_crosswalk,transfermarkt_dataset
30765,I. Radu,Ionuț Andrei Radu,Celta Vigo,La Liga,303657,Ionuț Radu,Celta de Vigo,9000000,9.0,2026-06-05,https://www.transfermarkt.co.uk/ionut-radu/profil/spieler/303657,high,1.0,1.0,provider_id_crosswalk,transfermarkt_dataset
47445,Iago Aspas,Iago Aspas Juncal,Celta Vigo,La Liga,72047,Iago Aspas,Celta de Vigo,1600000,1.6,2026-06-05,https://www.transfermarkt.co.uk/iago-aspas/profil/spieler/72047,high,1.0,1.0,provider_id_crosswalk,transfermarkt_dataset
1926,J. Aidoo,Joseph Aidoo,Celta Vigo,La Liga,358250,Joseph Aidoo,Celta de Vigo,1000000,1.0,2026-06-05,https://www.transfermarkt.co.uk/joseph-aidoo/profil/spieler/358250,high,1.0,1.0,provider_id_crosswalk,transfermarkt_dataset
351913,J. El Abdellaoui,Jones El Abdellaoui,Celta Vigo,La Liga,960571,Jones El-Abdellaoui,Celta de Vigo,8000000,8.0,2026-06-05,https://www.transfermarkt.co.uk/jones-el-abdellaoui/profil/spieler/960571,high,1.0,1.0,provider_id_crosswalk,transfermarkt_dataset
384135,Javi Rodríguez,Javier Rodríguez Galiano,Celta Vigo,La Liga,1076815,Javi Rodríguez,Celta de Vigo,18000000,18.0,2026-06-05,https://www.transfermarkt.co.uk/javi-rodriguez/profil/spieler/1076815,high,1.0,1.0,provider_id_crosswalk,transfermarkt_dataset
