league_id,league,season,team_id,team,matches_analyzed,avg_possession,avg_total_shots,avg_shots_on_target,avg_shots_inside_box,avg_corners,avg_total_passes,avg_accurate_passes,avg_pass_accuracy,shots_per_100_passes,shot_accuracy,possession_control,passing_control,chance_creation,attacking_pressure,directness,shooting_efficiency
61,Ligue 1,2025,94,Rennes,34,53.5,14.18,5.0,8.82,6.0,477.0,404.15,84.18,2.97,35.27,70.8,72.0,78.5,80.2,63.5,63.5
61,Ligue 1,2025,106,Stade Brestois 29,34,43.38,11.24,3.53,7.12,3.85,376.21,296.85,78.18,2.99,31.41,15.6,19.1,22.9,22.4,67.7,15.6
61,Ligue 1,2025,95,Strasbourg,34,53.74,11.47,4.65,7.94,4.24,518.29,456.35,87.5,2.21,40.51,72.9,90.5,51.7,44.9,3.1,99.0
61,Ligue 1,2025,96,Toulouse,33,42.24,12.85,4.3,8.36,4.45,374.0,305.58,80.55,3.44,33.49,8.3,31.0,59.3,40.6,95.8,40.6
39,Premier League,2025,42,Arsenal,38,56.16,14.53,4.89,10.66,5.68,470.92,396.76,83.76,3.08,33.7,83.3,66.7,85.5,83.8,76.0,44.8
39,Premier League,2025,66,Aston Villa,38,53.53,12.71,4.47,8.03,5.24,450.05,384.03,84.76,2.82,35.2,71.9,69.2,56.6,66.4,45.8,61.5
39,Premier League,2025,35,Bournemouth,38,50.18,13.79,4.66,8.21,5.58,413.87,331.45,79.26,3.33,33.78,52.1,36.5,70.1,70.3,89.6,45.8
39,Premier League,2025,55,Brentford,38,47.58,10.66,3.87,8.05,4.79,394.92,312.76,78.55,2.7,36.3,43.8,26.6,32.8,34.5,30.2,79.2
39,Premier League,2025,51,Brighton,38,54.11,13.03,4.63,8.66,4.87,476.47,399.82,83.5,2.73,35.56,76.0,66.3,69.1,67.4,33.3,72.9
39,Premier League,2025,44,Burnley,38,42.29,9.34,3.11,5.68,3.63,384.82,304.34,77.66,2.43,33.24,10.4,16.6,4.6,6.8,12.5,34.4
39,Premier League,2025,49,Chelsea,38,57.74,13.39,4.37,8.87,5.95,540.21,471.03,86.66,2.48,32.61,89.6,89.4,67.9,82.8,14.6,24.0
39,Premier League,2025,52,Crystal Palace,38,45.92,11.63,3.74,8.5,4.18,392.63,306.92,77.55,2.96,32.13,32.3,19.3,43.0,34.0,62.5,22.9
39,Premier League,2025,45,Everton,38,43.63,11.11,3.74,7.63,4.42,380.76,303.5,79.05,2.92,33.65,16.7,23.6,28.9,26.2,55.2,43.8
39,Premier League,2025,36,Fulham,38,51.71,12.71,3.68,8.55,4.92,473.95,397.63,83.58,2.68,28.99,63.5,66.5,49.2,61.3,28.1,5.2
39,Premier League,2025,63,Leeds,38,45.74,12.58,3.97,8.58,4.42,395.66,313.92,78.32,3.18,31.59,31.2,25.9,55.0,45.0,83.3,18.8
