player_id,name,primary_position,primary_starts,secondary_position,secondary_starts,total_starts,position_confidence,unknown_starts,position_history,position_source,broad_position
163189,M. Thiaw,CB,33,,0,33,100.0,0,CB:33,lineup_history,Defender
532,M. de Ligt,CB,13,,0,13,100.0,0,CB:13,lineup_history,Defender
293168,Max Alleyne,CB,2,,0,2,100.0,0,CB:2,lineup_history,Defender
363695,Murillo,CB,25,,0,25,100.0,0,CB:25,lineup_history,Defender
21694,N. Aguerd,CB,2,,0,2,100.0,0,CB:2,lineup_history,Defender
19495,N. Collins,CB,32,,0,32,100.0,0,CB:32,lineup_history,Defender
2817,N. Milenković,CB,37,,0,37,100.0,0,CB:37,lineup_history,Defender
6168,O. Alderete,CB,32,,0,32,100.0,0,CB:32,lineup_history,Defender
64003,P. Struijk,CB,33,,0,33,100.0,0,CB:33,lineup_history,Defender
46815,Pau Torres,CB,18,,0,18,100.0,0,CB:18,lineup_history,Defender
162498,R. Drăgușin,CB,5,,0,5,100.0,0,CB:5,lineup_history,Defender
567,Rúben Dias,CB,24,,0,24,100.0,0,CB:24,lineup_history,Defender
1408,S. Bornauw,CB,5,,0,5,100.0,0,CB:5,lineup_history,Defender
38734,S. Botman,CB,21,,0,21,100.0,0,CB:21,lineup_history,Defender
135334,S. Bueno,CB,28,,0,28,100.0,0,CB:28,lineup_history,Defender
36922,S. van den Berg,CB,30,,0,30,100.0,0,CB:30,lineup_history,Defender
19145,T. Adarabioyo,CB,8,,0,8,100.0,0,CB:8,lineup_history,Defender
19179,T. Mings,CB,15,,0,15,100.0,0,CB:15,lineup_history,Defender
41606,Toti Gomes,CB,17,,0,17,100.0,0,CB:17,lineup_history,Defender
290,V. van Dijk,CB,38,,0,38,100.0,0,CB:38,lineup_history,Defender
412719,Veljko Milosavljević,CB,4,,0,4,100.0,0,CB:4,lineup_history,Defender
22090,W. Saliba,CB,30,,0,30,100.0,0,CB:30,lineup_history,Defender
152849,M. van de Ven,CB,34,LB,1,35,97.1,0,CB:34 | LB:1,lineup_history,Defender
19720,T. Chalobah,CB,30,RB,1,31,96.8,0,CB:30 | RB:1,lineup_history,Defender
152967,C. Bassey,CB,27,LB,1,28,96.4,0,CB:27 | LB:1,lineup_history,Defender
195717,Y. Mosquera,CB,23,RB,1,24,95.8,0,CB:23 | RB:1,lineup_history,Defender
22094,W. Fofana,CB,19,RB,1,20,95.0,0,CB:19 | RB:1,lineup_history,Defender
19182,A. Tuanzebe,CB,13,RB,1,14,92.9,0,CB:13 | RB:1,lineup_history,Defender
67943,Morato,CB,13,LB,1,14,92.9,0,CB:13 | LB:1,lineup_history,Defender
20093,J. Hill,CB,20,RB,2,22,90.9,0,CB:20 | RB:2,lineup_history,Defender
22160,O. Boscagli,CB,8,LB,1,9,88.9,0,CB:8 | LB:1,lineup_history,Defender
129033,J. Gvardiol,CB,14,LB,2,16,87.5,0,CB:14 | LB:2,lineup_history,Defender
360114,A. Khusanov,CB,13,RB,2,15,86.7,0,CB:13 | RB:2,lineup_history,Defender
362711,Jair,CB,5,RB,1,6,83.3,0,CB:5 | RB:1,lineup_history,Defender
181797,B. Humphreys,CB,14,LWB,2,17,82.4,0,CB:14 | LWB:2 | RB:1,lineup_history,Defender
889,V. Lindelöf,CB,9,CDM,2,11,81.8,0,CB:9 | CDM:2,lineup_history,Defender
66407,L. Krejčí,CB,22,CM,4,27,81.5,0,CB:22 | CM:4 | CDM:1,lineup_history,Defender
19911,L. O&apos;Nien,CB,4,RB,1,5,80.0,0,CB:4 | RB:1,lineup_history,Midfielder
333682,Cristhian Mosquera,CB,7,RB,2,9,77.8,0,CB:7 | RB:2,lineup_history,Defender
1119,K. Ajer,CB,15,LB,5,20,75.0,0,CB:15 | LB:5,lineup_history,Defender
444984,Mick Schmetgens,CB,0,,0,0,72.0,0,,statistical_fallback,Defender
17661,J. Branthwaite,CB,5,LB,2,7,71.4,0,CB:5 | LB:2,lineup_history,Defender
33067,K. Machida,CB,0,,0,0,71.0,0,,statistical_fallback,Defender
25066,M. Leitsch,CB,0,,0,0,70.5,0,,statistical_fallback,Defender
392569,Sékou Doucouré,CB,0,,0,0,69.4,0,,statistical_fallback,Defender
611321,Brad-Hamilton Mantsounga,CB,0,,0,0,69.0,0,,statistical_fallback,Defender
24839,M. Friedrich,CB,0,,0,0,69.0,0,,statistical_fallback,Defender
25011,A. Pieper,CB,0,,0,0,68.9,0,,statistical_fallback,Defender
31073,E. Goldaniga,CB,0,,0,0,68.8,0,,statistical_fallback,Defender
3234,A. Bamba,CB,0,,0,0,68.5,0,,statistical_fallback,Defender
407017,M. Lumpungu,CB,0,,0,0,68.5,0,,statistical_fallback,Defender
384543,J. Ziółkowski,CB,0,,0,0,68.1,0,,statistical_fallback,Defender
25366,K. Akpoguma,CB,0,,0,0,67.8,0,,statistical_fallback,Defender
1902,D. Ćaleta-Car,CB,0,,0,0,67.6,0,,statistical_fallback,Defender
162236,F. Mendy,CB,0,,0,0,67.2,0,,statistical_fallback,Defender
30556,F. Romagna,CB,0,,0,0,67.2,0,,statistical_fallback,Defender
368129,T. Slotsager,CB,0,,0,0,67.1,0,,statistical_fallback,Defender
451355,Diego Aguado,CB,0,,0,0,67.0,0,,statistical_fallback,Defender
2916,N. Stark,CB,0,,0,0,66.9,0,,statistical_fallback,Defender
