api_football_player_id,name,team,league,age,transfermarkt_player_id,contract_expiration_date,verified_primary_position,verified_secondary_position,verified_position_group,verified_position_source,verified_position_confidence,verified_position_history,transfermarkt_position,current_appearances,current_goals,current_assists,current_minutes,current_weighted_goals,current_weighted_assists,current_weighted_minutes,current_starts,recent_weighted_output,recent_weighted_minutes,recent_starts,current_weighted_output,current_output_per90,current_output_percentile,current_rate_percentile,current_minutes_percentile,recent_output_percentile,recent_minutes_percentile,production_score,proven_score,availability_score
2287,R. Barkley,Aston Villa,Premier League,32.0,131978.0,2027-06-30 00:00:00,CM,CAM,CM,transfermarkt_profile_and_lineups,95.0,,Central Midfield,23.0,3.0,1.0,947.0,3.24,1.08,1011.6600000000001,8.0,9.759,2378.031,20.4,3.9960000000000004,0.35549492912638636,55.9,82.1,19.0,76.0,30.8,35.6,46.6,35.9
182603,Jon Ander Olasagasti,Levante,La Liga,25.0,625660.0,2028-06-30 00:00:00,CM,,CM,transfermarkt_profile_and_lineups,95.0,,Central Midfield,36.0,1.0,5.0,1881.0,1.04,5.2,1935.1000000000001,20.0,6.7893,2894.4210000000003,28.9,4.68,0.21766316986202258,64.5,69.2,48.7,58.4,40.9,55.8,47.0,71.8
203224,F. Wirtz,Liverpool,Premier League,22.0,598577.0,2030-06-30 00:00:00,CAM,LW,AM,transfermarkt_profile_and_lineups,95.0,,Attacking Midfield,49.0,7.0,10.0,3504.0,7.5,10.77,3823.2000000000003,40.0,39.942499999999995,6808.8775000000005,71.5,15.038999999999998,0.3540254237288135,88.5,66.4,95.9,98.4,95.1,83.0,97.2,100.0
368030,E. Kroupi,Bournemouth,Premier League,19.0,955357.0,2030-06-30 00:00:00,ST,CAM,FW,transfermarkt_profile_and_lineups,95.0,,Centre-Forward,35.0,13.0,0.0,1839.0,14.040000000000001,0.0,1948.14,23.0,16.1274,2264.7780000000002,26.3,14.040000000000001,0.6486186824355539,79.4,86.0,62.6,59.8,40.6,81.0,53.1,73.6
391822,Fer López,Celta Vigo,La Liga,21.0,1064471.0,2030-06-30 00:00:00,CAM,CM,AM,transfermarkt_profile_and_lineups,95.0,,Attacking Midfield,35.0,2.0,2.0,1796.0,2.14,2.12,1856.0000000000002,19.0,4.768000000000001,2235.775,22.85,3.624,0.17573275862068966,36.1,10.7,52.5,26.2,33.6,29.7,28.8,68.7
40403,S. Szymański,Rennes,Ligue 1,26.0,320748.0,2029-06-30 00:00:00,CAM,CM,AM,transfermarkt_profile_and_lineups,95.0,,Attacking Midfield,39.0,3.0,5.0,1773.0,2.8600000000000003,4.57,1626.26,20.0,17.575850000000003,4141.198,55.45,6.059,0.33531538622360507,51.6,57.4,44.3,74.6,73.0,53.1,74.0,70.7
48465,F. Ugrinic,Valencia,La Liga,26.0,394236.0,2029-06-30 00:00:00,CM,CAM,CM,transfermarkt_profile_and_lineups,95.0,,Central Midfield,30.0,0.0,3.0,1699.0,0.0,3.12,1740.0800000000002,19.0,3.4407499999999995,2214.235,36.05,2.1839999999999997,0.11296032366327984,32.6,25.8,41.2,30.5,28.0,37.3,28.8,64.9
178749,L. Samardžić,Atalanta,Serie A,23.0,528833.0,2029-06-30 00:00:00,CAM,,AM,transfermarkt_profile_and_lineups,95.0,,Attacking Midfield,38.0,6.0,2.0,1421.0,6.84,2.04,1489.74,14.0,14.8521,3149.166,28.450000000000003,8.268,0.49949655644609126,67.2,85.2,36.1,64.8,56.6,71.7,61.9,57.2
266657,Sávio,Manchester City,Premier League,21.0,743591.0,2031-06-30 00:00:00,LW,RW,W,transfermarkt_profile_and_lineups,95.0,,Left Winger,39.0,5.0,4.0,1802.0,4.23,4.11,1809.33,17.0,18.513,4408.021500000001,45.7,7.107000000000001,0.35351760043773117,62.0,64.5,53.9,81.3,77.4,62.7,80.0,68.3
15916,A. Skov Olsen,VfL Wolfsburg,Bundesliga,26.0,432982.0,2029-06-30 00:00:00,RW,RM,W,transfermarkt_profile_and_lineups,95.0,,Right Winger,20.0,3.0,3.0,1031.0,2.68,2.34,912.52,14.0,13.5564,2561.54,38.0,4.318,0.4258755972471836,43.4,66.6,23.8,64.5,46.1,49.2,58.0,42.5
25635,J. Hofmann,Bayer Leverkusen,Bundesliga,33.0,7161.0,2027-06-30 00:00:00,CAM,RW,AM,transfermarkt_profile_and_lineups,95.0,,Attacking Midfield,28.0,3.0,3.0,1288.0,2.9,3.0,1284.4,14.0,12.434,2478.275,27.45,5.0,0.3503581438804111,45.1,60.7,27.9,55.7,41.0,49.0,50.6,50.7
19030,M. O&apos;Riley,Marseille,Ligue 1,25.0,406634.0,2029-06-30 00:00:00,CM,CAM,CM,transfermarkt_profile_and_lineups,95.0,,Central Midfield,29.0,2.0,3.0,1307.0,2.06,3.16,1381.01,12.0,13.255500000000001,2981.552,32.35,4.272,0.2784049355182077,60.6,77.8,28.7,87.1,44.4,43.0,59.4,49.5
47543,Álvaro García,Rayo Vallecano,La Liga,33.0,257062.0,2028-06-30 00:00:00,LW,,W,transfermarkt_profile_and_lineups,95.0,,Left Winger,38.0,9.0,8.0,2381.0,8.21,7.890000000000001,2429.17,32.0,20.1134,4722.796,56.95,13.733,0.50880341845157,87.3,88.0,74.4,83.4,81.9,87.5,82.9,92.8
