league_id,league,season,team_id,team,player_id,name,firstname,lastname,age,nationality,height,weight,photo,position,appearances,lineups,minutes,rating,goals,assists,shots,shots_on_target,passes,key_passes,pass_accuracy,tackles,blocks,interceptions,dribble_attempts,successful_dribbles,duels_total,duels_won,fouls_drawn,fouls_committed,yellow_cards,red_cards
140,La Liga,2025,727,Osasuna,421044,Íñigo Arguibide,Íñigo,Arguibide Goñi,20.0,Spain,178 cm,70 kg,https://media.api-sports.io/football/players/421044.png,Defender,6.0,2.0,196.0,6.52,0.0,0.0,,,38.0,1.0,63.0,3.0,1.0,2.0,2.0,,13.0,3.0,,3.0,0.0,1.0
140,La Liga,2025,542,Alaves,438131,Egoitz Muñoz,Egoitz,Muñoz Larrea,21.0,Spain,179 cm,73 kg,https://media.api-sports.io/football/players/438131.png,Defender,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0
140,La Liga,2025,548,Real Sociedad,449063,Alex Garcia,Alex,Marchal García,18.0,Spain,180 cm,70 kg,https://media.api-sports.io/football/players/449063.png,Attacker,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0
140,La Liga,2025,529,Barcelona,491086,Tomás Marqués,Tomás Noël,Marqués Morera,19.0,Spain,,,https://media.api-sports.io/football/players/491086.png,Midfielder,2.0,0.0,12.0,6.3,0.0,0.0,,,12.0,,83.0,,,,1.0,,3.0,,,1.0,0.0,0.0
140,La Liga,2025,538,Celta Vigo,554287,A. Arcos,,,19.0,,,,https://media.api-sports.io/football/players/554287.png,Attacker,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0
140,La Liga,2025,531,Athletic Club,560954,A. Hierro,,,20.0,,,,https://media.api-sports.io/football/players/560954.png,Attacker,1.0,0.0,33.0,6.5,0.0,0.0,1.0,,9.0,1.0,66.0,,,,,,3.0,1.0,,,0.0,0.0
140,La Liga,2025,531,Athletic Club,568156,S. Sanchez,,,18.0,,,,https://media.api-sports.io/football/players/568156.png,Midfielder,7.0,2.0,199.0,6.53,0.0,1.0,4.0,1.0,63.0,4.0,66.0,3.0,,1.0,6.0,1.0,28.0,10.0,5.0,5.0,0.0,0.0
140,La Liga,2025,718,Oviedo,600938,P. Agudin,,,17.0,,,,https://media.api-sports.io/football/players/600938.png,Midfielder,7.0,0.0,93.0,6.35,0.0,0.0,1.0,,20.0,,55.0,1.0,,,1.0,1.0,15.0,5.0,1.0,4.0,0.0,0.0
140,La Liga,2025,539,Levante,609795,H. Nakoha,,,,,,,https://media.api-sports.io/football/players/609795.png,Defender,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0
140,La Liga,2025,532,Valencia,623732,Joel Fontanet,,,19.0,,,,https://media.api-sports.io/football/players/623732.png,Defender,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0
140,La Liga,2025,546,Getafe,625636,Jorge Montes,,,21.0,,,,https://media.api-sports.io/football/players/625636.png,Defender,1.0,0.0,26.0,6.5,0.0,0.0,,,9.0,1.0,88.0,3.0,,,2.0,2.0,9.0,5.0,,1.0,0.0,0.0
140,La Liga,2025,542,Alaves,625744,Izei Hernandez,,,,,,,https://media.api-sports.io/football/players/625744.png,Attacker,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0
140,La Liga,2025,529,Barcelona,127,M. ter Stegen,Marc-André,ter Stegen,33.0,Germany,187,88,https://media.api-sports.io/football/players/127.png,Goalkeeper,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0
140,La Liga,2025,547,Girona,127,M. ter Stegen,Marc-André,ter Stegen,33.0,Germany,187,88,https://media.api-sports.io/football/players/127.png,Goalkeeper,2.0,2.0,180.0,6.6,0.0,0.0,,,75.0,,92.0,,,,,,,,,,0.0,0.0
140,La Liga,2025,539,Levante,328139,T. Abed,Tai,Abed Kassus,21.0,Israel,176 cm,63 kg,https://media.api-sports.io/football/players/328139.png,Attacker,7.0,0.0,110.0,6.33,0.0,0.0,2.0,1.0,20.0,1.0,80.0,1.0,,1.0,4.0,2.0,14.0,5.0,2.0,2.0,0.0,0.0
140,La Liga,2025,539,Levante,334878,U. Raghouber,Ugo,Raghouber,22.0,France,180,62,https://media.api-sports.io/football/players/334878.png,Midfielder,16.0,8.0,721.0,6.83,0.0,0.0,2.0,,336.0,4.0,84.0,22.0,,15.0,12.0,9.0,105.0,66.0,14.0,10.0,1.0,0.0
